t_global,x,y,v,em,es,action
3.291,97,648,-8,0,100,still_30s
3.291,97,648,-8,0,100,still_30s
3.291,94,650,-8,0,100,still_30s
3.291,95,653,0,0,100,still_30s
3.291,95,653,0,0,100,still_30s
3.291,95,657,0,0,100,still_30s
3.291,103,660,0,0,100,still_30s
3.291,109,660,0,0,100,still_30s
3.291,109,660,0,0,100,still_30s
3.291,122,661,0,0,100,still_30s
3.291,132,662,0,0,100,still_30s
3.291,132,662,0,0,100,still_30s
3.291,135,658,0,0,100,still_30s
3.291,134,657,0,0,100,still_30s
3.291,134,657,0,0,100,still_30s
3.291,126,656,0,0,100,still_30s
3.291,120,653,8,0,100,still_30s
3.291,120,653,8,0,100,still_30s
3.291,119,654,16,0,100,still_30s
3.291,124,654,16,0,100,still_30s
3.291,124,654,16,0,100,still_30s
3.291,146,651,16,0,100,still_30s
3.291,170,648,16,0,100,still_30s
3.291,169,659,24,0,100,still_30s
3.291,169,659,24,0,100,still_30s
3.291,166,665,8,0,100,still_30s
3.291,140,677,8,0,100,still_30s
3.291,140,677,8,0,99,still_30s
3.291,114,686,0,0,96,still_30s
3.291,50,701,-8,0,96,still_30s
3.291,9,716,0,0,95,still_30s
3.291,9,716,0,27,96,still_30s
3.291,2,718,0,27,96,still_30s
3.291,-5,714,0,0,94,still_30s
3.291,-5,714,0,0,94,still_30s
3.291,-3,713,0,0,94,still_30s
3.291,3,711,0,0,94,still_30s
3.291,3,711,0,0,94,still_30s
3.291,1,712,0,0,93,still_30s
3.291,-16,712,0,0,93,still_30s
3.291,-51,714,0,27,92,still_30s
3.291,-51,714,0,27,92,still_30s
3.291,-114,713,0,0,89,still_30s
3.291,-153,712,0,21,88,still_30s
3.291,-153,712,0,21,88,still_30s
3.291,-142,719,-8,0,85,still_30s
3.291,-131,719,0,0,83,still_30s
3.291,-131,719,0,0,83,still_30s
3.291,-121,720,0,0,84,still_30s
3.291,-112,721,0,0,83,still_30s
3.291,-112,721,0,0,83,still_30s
3.291,-100,722,0,0,77,still_30s
3.291,-101,721,0,0,77,still_30s
3.342,-101,721,0,0,76,still_30s
3.533,-103,720,0,0,76,still_30s
3.533,-109,718,0,0,76,still_30s
3.533,-109,718,0,0,76,still_30s
3.579,-130,717,0,0,76,still_30s
3.654,-147,714,0,0,73,still_30s
3.727,-153,711,0,0,74,still_30s
3.767,-153,711,0,0,74,still_30s
3.847,-144,712,0,0,76,still_30s
3.907,-134,714,0,0,76,still_30s
3.953,-134,714,0,0,75,still_30s
4.034,-123,722,0,0,75,still_30s
4.100,-110,730,0,0,75,still_30s
4.148,-100,734,0,0,76,still_30s
4.216,-100,734,0,0,74,still_30s
4.281,-94,734,0,0,74,still_30s
4.325,-90,731,0,0,75,still_30s
4.402,-90,731,0,0,77,still_30s
4.470,-87,730,0,0,77,still_30s
4.506,-86,728,0,0,78,still_30s
4.595,-86,726,0,0,78,still_30s
4.654,-86,726,0,0,78,still_30s
4.696,-89,724,0,0,79,still_30s
4.773,-90,721,0,0,79,still_30s
4.840,-90,721,0,0,78,still_30s
4.886,-89,722,0,0,78,still_30s
4.951,-88,725,0,0,78,still_30s
5.031,-88,725,0,0,80,still_30s
5.068,-86,727,0,0,80,still_30s
5.153,-84,727,0,0,81,still_30s
5.222,-84,727,0,0,82,still_30s
5.256,-83,725,-8,0,82,still_30s
5.328,-81,724,0,0,83,still_30s
5.402,-81,724,0,0,83,still_30s
5.440,-80,727,0,0,82,still_30s
5.518,-77,732,0,0,82,still_30s
5.595,-69,738,0,0,82,still_30s
5.628,-69,738,0,0,83,still_30s
5.706,-63,743,0,0,82,still_30s
5.774,-60,746,0,0,82,still_30s
5.828,-60,746,0,0,81,still_30s
5.888,-55,749,0,0,79,still_30s
5.973,-53,750,0,0,79,still_30s
6.007,-56,748,0,0,77,still_30s
6.073,-56,748,0,0,77,still_30s
6.154,-59,748,0,0,78,still_30s
6.185,-58,748,0,0,77,still_30s
6.263,-58,748,0,0,77,still_30s
6.338,-57,747,0,0,75,still_30s
6.382,-59,745,0,0,75,still_30s
6.449,-63,741,0,0,75,still_30s
6.525,-63,741,0,0,74,still_30s
6.560,-66,737,0,0,74,still_30s
6.641,-59,742,0,0,73,still_30s
6.707,-59,742,0,0,73,still_30s
6.748,-52,747,0,0,71,still_30s
6.815,-46,750,0,0,71,still_30s
6.882,-46,750,0,0,71,still_30s
6.937,-44,750,0,0,70,still_30s
7.002,-44,748,0,0,67,still_30s
7.069,-44,748,0,0,67,still_30s
7.114,-44,744,0,0,69,still_30s
7.195,-45,739,0,0,69,still_30s
7.257,-45,739,0,0,69,still_30s
7.297,-48,734,0,0,72,still_30s
7.362,-52,728,0,0,72,still_30s
7.438,-52,728,0,0,74,still_30s
7.481,-56,720,0,0,74,still_30s
