t_global,x,y,v,em,es,label
183.815,121,635,0,0,40,1
183.887,120,640,0,0,40,1
183.960,121,643,0,0,40,0
183.999,121,643,0,0,40,0
184.072,117,645,0,0,41,0
184.146,98,645,0,0,41,0
184.185,98,645,0,0,41,0
184.258,77,645,0,0,41,0
184.330,98,664,0,0,41,0
184.371,106,672,0,0,41,0
184.443,106,672,0,0,41,0
184.515,142,688,0,0,41,0
184.555,187,703,0,0,42,0
184.627,187,703,0,0,42,0
184.699,229,727,0,0,42,0
184.739,264,728,0,0,43,0
184.810,264,728,0,0,43,0
184.883,271,724,0,0,42,0
184.923,271,728,0,0,42,0
184.995,265,733,0,0,42,0
185.067,265,733,0,0,42,0
185.107,254,735,0,0,42,1
185.180,244,731,0,0,42,1
185.252,244,731,0,0,41,1
185.292,232,728,0,0,41,1
185.365,219,727,0,0,41,1
185.437,219,727,0,0,41,1
185.477,209,725,0,0,40,1
185.549,197,727,0,0,40,1
185.621,197,727,0,0,40,1
185.666,155,744,0,0,40,1
185.738,123,767,0,0,40,1
185.810,123,767,0,0,40,1
185.849,123,772,8,0,40,1
185.922,152,780,0,0,40,1
185.994,152,780,0,0,40,1
186.034,179,794,0,0,40,1
186.106,204,819,0,0,40,1
186.178,204,819,0,0,40,1
186.218,241,865,0,0,40,1
186.290,287,889,0,0,40,1
186.363,330,875,0,0,40,1
186.403,330,875,0,0,40,1
186.477,354,832,0,0,40,1
186.550,365,787,0,0,40,1
186.589,365,787,0,0,41,1
186.662,378,766,0,0,41,1
186.734,361,763,0,0,41,1
186.775,353,756,0,0,41,1
186.847,353,756,0,0,40,1
186.919,354,741,0,0,40,1
186.959,352,730,0,0,40,1
187.031,352,730,0,0,41,1
187.103,338,707,0,0,41,1
187.143,294,646,0,0,41,1
187.214,294,646,0,0,41,1
187.287,254,595,0,0,42,1
187.327,221,541,0,0,43,1
187.399,211,505,0,0,43,1
187.471,211,505,0,0,43,1
187.511,237,506,0,0,43,1
187.585,244,523,0,0,43,1
187.656,244,523,0,0,43,1
187.700,251,528,0,0,43,1
187.773,257,537,0,0,43,1
187.845,257,537,0,0,43,1
187.884,257,546,0,0,42,1
187.957,256,558,0,0,40,1
188.029,256,558,0,0,40,1
188.068,254,567,0,0,39,1
188.141,255,570,0,0,38,1
188.213,255,570,0,0,38,1
188.252,262,572,8,0,37,1
188.325,269,574,0,0,36,1
188.397,269,574,0,0,36,1
188.436,273,578,0,0,35,1
188.509,277,582,0,0,35,1
188.582,277,582,0,0,35,1
188.621,278,580,0,0,34,1
188.695,285,577,0,0,34,1
188.767,291,573,0,0,33,1
188.806,291,573,0,0,33,1
188.879,296,571,0,0,33,1
188.953,304,573,0,0,33,1
188.992,304,573,0,0,33,1
189.066,313,574,0,0,31,1
189.138,320,575,0,0,31,1
189.179,324,575,0,0,48,1
189.251,324,575,0,0,48,1
189.323,323,573,0,0,48,1
189.363,320,570,0,0,47,1
189.435,320,570,0,0,47,1
189.507,320,566,0,0,47,1
189.547,321,562,0,0,48,1
189.619,321,562,0,0,48,1
189.691,320,557,0,0,48,1
189.736,319,553,0,0,49,1
189.808,323,550,0,0,49,1
189.880,323,550,0,0,50,1
189.920,327,551,0,0,50,1
189.992,327,553,8,0,50,1
190.064,327,553,8,0,32,1
190.104,330,556,0,0,32,1
190.177,329,555,0,0,33,1
190.249,329,555,0,0,33,1
190.289,332,555,0,0,33,1
190.362,334,559,0,0,34,1
190.434,334,559,0,0,34,1
190.473,336,573,0,0,35,1
190.546,341,587,0,0,35,1
190.618,341,587,0,0,35,1
190.657,341,597,0,0,34,1
190.730,347,601,0,0,33,1
190.802,347,601,0,0,33,1
190.842,346,602,0,0,33,1
190.914,343,597,0,0,33,1
190.986,343,597,0,0,33,1
191.026,342,594,0,0,33,1
191.098,341,586,0,0,33,1
191.171,342,580,0,0,33,1
191.211,342,580,0,0,33,1
191.284,338,577,0,0,33,1
191.358,331,576,0,0,33,1
191.397,331,576,0,0,33,1
191.470,328,575,0,0,33,1
191.543,324,570,0,0,33,1
191.583,321,566,0,0,33,1
191.655,321,566,0,0,33,1
191.727,321,560,0,0,33,1
191.772,326,557,0,0,32,1
191.844,326,557,0,0,31,1
191.916,329,554,0,0,31,1
191.956,330,551,0,0,31,1
192.028,329,546,0,0,31,1
192.100,329,546,0,0,31,1
192.139,328,540,0,0,32,1
192.212,328,536,0,0,32,1
192.284,328,536,0,0,32,1
192.324,328,534,0,0,32,1
192.396,324,537,0,0,32,1
192.468,324,537,0,0,33,1
192.507,320,535,0,0,33,1
192.580,320,534,0,0,33,1
192.652,320,534,0,0,33,1
192.692,321,534,0,0,33,1
192.765,319,536,0,0,34,1
192.837,319,536,0,0,34,1
192.876,321,541,0,0,34,1
192.949,325,547,0,0,35,1
193.021,325,547,0,0,35,1
193.061,325,550,0,0,35,1
193.133,319,552,0,0,36,1
193.205,319,552,0,0,36,1
193.244,314,552,0,0,36,1
193.317,306,555,0,0,37,1
193.389,306,555,0,0,37,1
193.429,298,573,0,0,39,1
193.501,290,586,0,0,39,1
193.575,280,569,0,0,40,1
193.614,280,569,0,0,40,1
193.687,281,564,0,0,42,1
193.761,283,562,0,0,42,1
193.806,286,561,0,0,42,1
193.877,286,561,0,0,42,1
193.950,293,557,0,0,43,1
193.991,302,552,0,0,43,1
194.063,302,552,0,0,42,1
194.135,308,548,0,0,42,1
194.175,308,548,0,0,42,1
194.247,308,548,0,0,42,1
194.319,306,552,0,0,42,1
194.358,305,552,0,0,41,1
194.431,308,546,0,0,39,1
194.503,308,546,0,0,39,1
194.542,309,543,0,0,38,1
194.615,310,543,0,0,38,1
194.687,310,543,0,0,37,1
194.727,310,543,0,0,37,1
194.799,309,542,0,0,37,1
194.871,309,542,0,0,37,1
194.910,308,542,0,0,37,1
194.983,304,545,0,0,36,1
195.055,304,545,0,0,36,1
195.095,302,546,0,0,36,1
195.168,300,548,0,0,35,1
195.240,300,548,0,0,35,1
195.279,297,546,0,0,34,1
195.352,293,542,0,0,34,1
195.424,293,542,0,0,34,1
195.463,290,536,0,0,34,1
195.536,287,533,0,0,35,1
195.608,287,533,0,0,35,1
195.647,284,530,0,0,35,1
195.720,279,527,0,0,36,1
195.792,279,527,0,0,36,1
195.836,273,526,0,0,36,1
195.909,266,523,0,0,36,1
195.982,264,522,0,0,37,1
196.023,264,522,0,0,37,1
196.095,266,522,0,0,37,1
196.168,272,525,0,0,37,1
196.208,278,536,0,0,37,1
196.279,278,536,0,0,37,1
196.352,281,546,0,0,37,1
196.393,288,559,0,0,37,1
196.465,288,559,0,0,37,1
196.537,291,561,0,0,37,1
196.577,293,562,0,0,37,1
196.649,293,562,0,0,37,1
196.721,294,563,0,0,37,1
196.760,291,564,0,0,37,1
196.833,288,567,0,0,37,1
196.905,288,567,0,0,37,1
196.944,289,571,0,0,37,1
197.017,294,576,0,0,37,1
197.089,294,576,0,0,37,1
197.129,298,578,0,0,36,1
197.201,302,579,0,0,36,1
197.273,302,579,0,0,35,1
197.312,304,580,-8,0,35,1
197.385,304,579,0,0,34,1
197.457,304,579,0,0,32,1
197.497,302,579,0,0,32,1
197.570,298,580,0,0,31,1
197.642,298,580,0,0,31,1
197.681,291,582,0,0,37,1
197.754,287,582,0,0,36,1
197.826,287,582,0,0,36,1
197.870,291,582,0,0,36,1
197.943,295,581,0,0,36,1
198.015,295,581,0,0,36,1
198.054,299,586,0,0,37,1
198.128,301,589,0,0,37,1
198.200,304,591,0,0,37,1
198.240,304,591,0,0,37,1
198.314,306,593,0,0,37,1
198.386,307,592,0,0,37,1
198.427,307,592,0,0,37,1
198.499,307,591,0,0,37,1
198.572,306,593,0,0,38,1
198.612,303,592,0,0,38,1
198.683,303,592,0,0,38,1
198.756,299,587,0,0,37,1
198.797,296,582,0,0,37,1
198.868,296,582,0,0,36,1
198.941,294,578,0,0,36,1
198.981,292,574,0,0,21,1
199.053,289,571,0,0,22,1
199.125,289,571,0,0,22,1
