t_global,label,source
0.0,1,auto
0.115,0,auto
0.292,0,auto
0.319,0,auto
1.023,0,auto
1.051,0,auto
1.097,0,auto
1.132,0,auto
1.157,0,auto
1.180,0,auto
1.207,0,auto
1.230,1,auto
1.281,1,auto
1.422,1,auto
1.502,1,auto
2.218,1,auto
2.243,1,auto
2.266,1,auto
2.291,1,auto
2.315,1,auto
2.338,1,auto
2.361,1,auto
2.384,1,auto
2.408,1,auto
2.631,1,auto
2.711,1,auto
3.291,1,auto
3.315,1,auto
3.339,1,auto
3.374,1,auto
3.399,1,auto
3.423,1,auto
3.447,1,auto
3.470,1,auto
3.529,1,auto
3.778,1,auto
4.333,1,auto
4.360,1,auto
4.383,1,auto
4.405,1,auto
4.430,1,auto
4.453,1,auto
4.476,1,auto
4.499,1,auto
4.586,1,auto
4.747,1,auto
5.419,1,auto
5.443,1,auto
5.466,1,auto
5.489,1,auto
5.513,1,auto
5.536,1,auto
5.616,1,auto
5.675,1,auto
5.772,1,auto
5.832,1,auto
5.887,1,auto
6.469,1,auto
6.493,1,auto
6.516,1,auto
6.539,1,auto
6.562,1,auto
6.585,1,auto
6.609,1,auto
6.632,1,auto
6.657,1,auto
6.748,1,auto
6.842,1,auto
6.913,1,auto
7.508,1,auto
7.545,1,auto
7.569,1,auto
7.593,1,auto
7.624,1,auto
7.648,1,auto
7.673,1,auto
7.757,1,auto
7.823,1,auto
7.901,1,auto
7.979,1,auto
8.648,1,auto
8.673,1,auto
8.696,1,auto
8.720,1,auto
8.743,1,auto
8.766,1,auto
8.790,1,auto
8.813,1,auto
8.873,1,auto
8.963,1,auto
9.029,1,auto
9.080,1,auto
9.141,1,auto
9.722,1,auto
9.747,1,auto
9.772,1,auto
9.796,1,auto
9.819,1,auto
9.842,1,auto
9.866,1,auto
9.890,1,auto
9.915,1,auto
10.009,1,auto
10.061,1,auto
10.166,1,auto
10.722,1,auto
10.746,1,auto
10.769,1,auto
10.792,1,auto
10.815,1,auto
10.843,1,auto
10.879,1,auto
10.908,1,auto
10.976,1,auto
11.041,1,auto
11.128,1,auto
11.210,1,auto
11.807,1,auto
11.832,1,auto
11.855,1,auto
11.879,1,auto
11.903,1,auto
11.926,1,auto
11.950,1,auto
11.976,1,auto
12.024,1,auto
12.095,1,auto
12.157,1,auto
12.236,1,auto
12.285,1,auto
12.860,1,auto
12.883,1,auto
12.906,1,auto
12.929,1,auto
12.952,1,auto
12.975,1,auto
12.999,1,auto
13.022,1,auto
13.077,1,auto
13.177,1,auto
13.262,1,auto
13.322,1,auto
13.874,1,auto
13.897,1,auto
13.921,1,auto
13.945,1,auto
13.969,1,auto
13.992,1,auto
14.016,1,auto
14.039,1,auto
14.090,1,auto
14.179,1,auto
14.242,1,auto
14.329,1,auto
14.369,1,auto
14.951,1,auto
14.974,1,auto
14.997,1,auto
15.020,1,auto
15.043,1,auto
15.067,1,auto
15.090,1,auto
15.113,1,auto
15.136,1,auto
15.165,1,auto
15.212,1,auto
15.361,1,auto
15.412,1,auto
15.962,1,auto
15.986,1,auto
16.009,1,auto
16.033,1,auto
16.057,1,auto
16.080,1,auto
16.103,1,auto
17.173,1,auto
17.196,1,auto
17.218,1,auto
17.241,1,auto
17.263,1,auto
17.287,1,auto
17.310,1,auto
17.334,1,auto
17.359,1,auto
17.453,1,auto
17.506,1,auto
17.641,1,auto
18.150,1,auto
18.173,1,auto
18.197,1,auto
18.220,1,auto
18.243,1,auto
18.266,1,auto
18.290,1,auto
18.314,1,auto
18.366,1,auto
18.442,1,auto
18.502,1,auto
18.600,1,auto
19.255,1,auto
19.279,1,auto
19.302,1,auto
19.325,1,auto
19.348,1,auto
19.373,1,auto
19.396,1,auto
19.420,1,auto
19.443,1,auto
19.520,1,auto
19.585,1,auto
19.690,1,auto
20.262,1,auto
20.285,1,auto
20.308,1,auto
20.332,1,auto
20.355,1,auto
20.378,2,auto
20.401,1,auto
20.425,1,auto
20.475,1,auto
20.568,1,auto
20.644,1,auto
20.696,1,auto
21.278,1,auto
21.301,1,auto
21.324,1,auto
21.347,1,auto
21.370,1,auto
21.394,1,auto
21.417,1,auto
21.485,1,auto
21.557,1,auto
21.666,1,auto
21.731,1,auto
22.305,1,auto
22.328,1,auto
22.352,1,auto
22.375,1,auto
22.399,1,auto
22.421,1,auto
22.445,1,auto
22.468,1,auto
22.573,1,auto
22.655,1,auto
22.704,2,auto
22.804,2,auto
23.371,2,auto
23.394,2,auto
23.417,2,auto
23.441,1,auto
23.464,1,auto
23.487,1,auto
23.511,1,auto
23.542,1,auto
23.648,1,auto
23.748,1,auto
23.813,1,auto
24.404,1,auto
24.428,1,auto
24.451,1,auto
24.476,1,auto
24.499,1,auto
24.522,1,auto
24.545,1,auto
24.568,1,auto
24.655,1,auto
24.742,1,auto
24.822,1,auto
25.447,1,auto
25.471,1,auto
25.494,1,auto
25.517,1,auto
25.540,1,auto
25.564,1,auto
25.587,1,auto
25.611,1,auto
25.648,1,auto
25.735,1,auto
25.829,1,auto
25.898,1,auto
26.448,1,auto
26.471,1,auto
26.494,1,auto
26.518,1,auto
26.541,1,auto
26.565,1,auto
26.588,1,auto
26.615,1,auto
26.720,1,auto
26.866,1,auto
26.929,2,auto
27.459,2,auto
27.483,2,auto
27.507,2,auto
27.529,0,auto
27.554,0,auto
27.578,0,auto
27.612,0,auto
27.653,0,auto
27.707,0,auto
27.754,0,auto
27.820,0,auto
27.917,2,auto
28.450,2,auto
28.474,2,auto
28.497,2,auto
28.521,2,auto
28.544,2,auto
28.569,2,auto
28.593,2,auto
28.617,2,auto
28.640,1,auto
28.801,2,auto
28.838,2,auto
28.910,2,auto
29.481,2,auto
29.504,2,auto
29.528,2,auto
29.552,2,auto
29.575,2,auto
29.599,2,auto
29.623,2,auto
29.647,2,auto
29.671,2,auto
29.719,2,auto
29.781,2,auto
29.872,2,auto
30.503,2,auto
30.526,2,auto
30.550,2,auto
30.573,2,auto
30.597,2,auto
30.621,2,auto
30.645,2,auto
30.669,2,auto
30.729,2,auto
30.798,2,auto
30.898,2,auto
30.996,2,auto
31.599,1,auto
31.622,1,auto
31.645,2,auto
31.669,2,auto
31.693,2,auto
31.716,2,auto
31.740,2,auto
31.762,0,auto
31.807,0,auto
31.898,0,auto
31.960,0,auto
32.053,0,auto
32.606,0,auto
32.631,0,auto
32.655,0,auto
32.679,1,auto
32.701,0,auto
32.724,0,auto
32.750,0,auto
32.773,0,auto
32.796,0,auto
32.873,0,auto
32.941,0,auto
33.013,0,auto
33.601,0,auto
33.624,1,auto
33.647,1,auto
33.671,1,auto
33.694,1,auto
33.718,1,auto
33.741,1,auto
33.763,0,auto
33.847,0,auto
34.031,0,auto
34.072,0,auto
34.624,0,auto
34.648,0,auto
34.672,0,auto
34.695,0,auto
34.719,0,auto
34.744,0,auto
34.770,3,auto
34.793,3,auto
34.824,3,auto
34.927,3,auto
34.991,3,auto
35.057,3,auto
35.619,4,auto
35.642,4,auto
35.665,4,auto
35.689,4,auto
35.712,4,auto
35.735,4,auto
35.758,4,auto
35.781,4,auto
35.806,4,auto
35.887,4,auto
35.988,4,auto
36.055,4,auto
36.626,4,auto
36.649,4,auto
36.672,4,auto
36.695,4,auto
36.719,4,auto
36.742,4,auto
36.765,4,auto
36.789,4,auto
36.812,4,auto
36.902,4,auto
36.991,4,auto
37.081,4,auto
37.632,1,auto
37.655,1,auto
37.678,1,auto
37.702,1,auto
37.725,1,auto
37.748,1,auto
37.772,1,auto
37.796,1,auto
37.840,1,auto
37.928,1,auto
38.003,1,auto
38.123,1,auto
38.667,4,auto
38.690,4,auto
38.713,4,auto
38.736,4,auto
38.759,4,auto
38.782,4,auto
38.804,4,auto
38.828,4,auto
38.900,4,auto
38.956,4,auto
39.003,4,auto
39.701,4,auto
39.725,4,auto
39.748,4,auto
39.771,4,auto
39.794,4,auto
39.818,4,auto
39.841,4,auto
39.865,4,auto
39.940,4,auto
40.053,4,auto
40.160,4,auto
40.704,4,auto
40.728,4,auto
40.751,4,auto
40.775,4,auto
40.798,4,auto
40.821,4,auto
40.845,4,auto
40.868,4,auto
40.964,4,auto
41.004,4,auto
41.114,4,auto
41.739,4,auto
41.762,4,auto
41.785,4,auto
41.808,4,auto
41.832,4,auto
41.855,4,auto
41.879,4,auto
41.902,4,auto
42.010,4,auto
42.071,4,auto
42.152,4,auto
42.729,3,auto
42.753,3,auto
42.776,3,auto
42.812,3,auto
42.836,3,auto
42.863,3,auto
42.886,3,auto
42.909,3,auto
42.968,3,auto
43.069,3,auto
43.148,3,auto
43.206,3,auto
43.732,3,auto
43.755,3,auto
43.778,3,auto
43.801,3,auto
43.825,3,auto
43.849,3,auto
43.872,3,auto
43.924,3,auto
43.998,3,auto
44.091,3,auto
44.184,3,auto
44.740,3,auto
44.764,3,auto
44.787,3,auto
44.812,3,auto
44.835,3,auto
44.859,3,auto
44.883,3,auto
44.907,3,auto
44.932,3,auto
44.955,3,auto
44.979,3,auto
45.003,3,auto
45.048,3,auto
45.105,3,auto
45.171,3,auto
45.767,4,auto
45.790,4,auto
