t_wallclock,label
1786622905.383763,0
1786622905.560167,0
1786622905.587362,0
1786622906.291193,0
1786622906.319119,0
1786622906.365595,0
1786622906.400269,0
1786622906.425374,0
1786622906.448821,0
1786622906.475191,0
1786622906.498876,1
1786622906.549369,1
1786622906.690694,1
1786622906.770595,1
1786622907.486807,1
1786622907.511626,1
1786622907.534623,1
1786622907.559260,1
1786622907.583526,1
1786622907.606450,1
1786622907.629818,1
1786622907.652743,1
1786622907.676910,1
1786622907.899931,1
1786622907.979220,1
1786622908.559251,1
1786622908.583409,1
1786622908.607070,1
1786622908.642024,1
1786622908.667497,1
1786622908.691656,1
1786622908.715051,1
1786622908.738601,1
1786622908.797014,1
1786622909.046852,1
1786622909.601534,1
1786622909.628225,1
1786622909.651658,1
1786622909.673860,1
1786622909.698071,1
1786622909.721292,1
1786622909.744197,1
1786622909.767445,1
1786622909.854054,1
1786622910.015868,1
1786622910.687372,1
1786622910.711334,1
1786622910.734293,1
1786622910.757919,1
1786622910.781390,1
1786622910.804424,1
1786622910.884216,1
1786622910.943924,1
1786622911.040580,1
1786622911.100567,1
1786622911.155556,1
1786622911.737689,1
1786622911.761375,1
1786622911.784609,1
1786622911.807524,1
1786622911.830530,1
1786622911.853580,1
1786622911.877122,1
1786622911.900200,1
1786622911.925647,1
1786622912.016373,1
1786622912.110948,1
1786622912.181036,1
1786622912.776644,1
1786622912.813386,1
1786622912.837883,1
1786622912.861259,1
1786622912.892269,1
1786622912.916184,1
1786622912.941910,1
1786622913.025892,1
1786622913.091738,1
1786622913.169677,1
1786622913.247374,1
1786622913.916015,1
1786622913.941349,1
1786622913.964773,1
1786622913.988887,1
1786622914.011423,1
1786622914.034521,1
1786622914.058279,1
1786622914.081596,1
1786622914.141326,1
1786622914.231533,1
1786622914.297944,1
1786622914.348748,1
1786622914.409123,1
1786622914.990504,1
1786622915.015756,1
1786622915.040973,1
1786622915.063993,1
1786622915.087184,1
1786622915.110906,1
1786622915.134485,1
1786622915.158602,1
1786622915.183359,1
1786622915.277079,1
1786622915.329749,1
1786622915.434004,1
1786622915.990799,1
1786622916.014448,1
1786622916.037484,1
1786622916.060665,1
1786622916.083947,1
1786622916.111510,1
1786622916.147717,1
1786622916.176863,1
1786622916.244668,1
1786622916.309737,1
1786622916.396078,1
1786622916.478836,1
1786622917.075037,1
1786622917.100326,1
1786622917.123566,1
1786622917.147243,1
1786622917.171243,1
1786622917.194886,1
1786622917.218325,1
1786622917.244611,1
1786622917.292545,1
1786622917.363518,1
1786622917.425718,1
1786622917.504179,1
1786622917.553106,1
1786622918.128280,1
1786622918.151191,1
1786622918.174263,1
1786622918.197139,1
1786622918.220573,1
1786622918.243630,1
1786622918.267144,1
1786622918.290477,1
1786622918.345850,1
1786622918.445480,1
1786622918.530089,1
1786622918.590153,1
1786622919.142049,1
1786622919.165898,1
1786622919.189927,1
1786622919.213607,1
1786622919.237349,1
1786622919.260770,1
1786622919.284099,1
1786622919.307485,1
1786622919.358735,1
1786622919.447159,1
1786622919.510909,1
1786622919.597772,1
1786622919.637831,1
1786622920.219008,1
1786622920.242031,1
1786622920.265311,1
1786622920.288470,1
1786622920.311348,1
1786622920.335165,1
1786622920.358218,1
1786622920.381706,1
1786622920.404922,1
1786622920.433178,1
1786622920.480748,1
1786622920.629811,1
1786622920.680207,1
1786622921.230579,1
1786622921.254059,1
1786622921.277851,1
1786622921.301292,1
1786622921.325180,1
1786622921.348435,1
1786622921.371983,1
1786622922.441070,1
1786622922.464094,1
1786622922.486661,1
1786622922.509036,1
1786622922.531978,1
1786622922.555296,1
1786622922.578914,1
1786622922.602396,1
1786622922.627466,1
1786622922.721594,1
1786622922.774189,1
1786622922.909199,1
1786622923.418727,1
1786622923.441943,1
1786622923.465056,1
1786622923.488118,1
1786622923.511521,1
1786622923.534734,1
1786622923.558359,1
1786622923.582192,1
1786622923.634702,1
1786622923.710565,1
1786622923.770836,1
1786622923.868349,1
1786622924.523808,1
1786622924.547069,1
